ICCD B [4.409328228332753, 5746]
ISMB B [4.427829698857736, 963]
ISC C [4.4317738791423, 2052]
NOMS C [4.438220757825371, 4249]
ICWS B [4.440267128370023, 4043]
SSDBM C [4.494825964252117, 2126]
ICSME B [4.49680170575693, 938]
SANER B [4.504930966469428, 1014]
IDC C [4.511177844511177, 2997]
ICME B [4.524578463734499, 11209]
WASA C [4.530938123752495, 2004]
ITS B [4.534994068801898, 1686]
PACT B [4.536344389555398, 2834]
IUI B [4.558391831525207, 3134]
OOPSLA A [4.56145251396648, 2148]
FSE B [4.567260940032415, 617]
ICIP C [4.575497266755478, 21769]
ICSE A [4.598428215449492, 5217]
ESEM B [4.617036506800287, 1397]
MSR C [4.623809523809523, 1260]
FPT C [4.630614115490376, 2182]
ASSETS C [4.641156462585034, 2352]
RE B [4.649151614668856, 1827]
ICSR C [4.656021897810219, 2192]
ICSOC B [4.663712456917774, 2031]
VEE B [4.6835443037974684, 790]
SOCC B [4.686595049042504, 4282]
ESWC C [4.700564971751413, 1416]
AAAI A [4.74594012160394, 12993]
EMNLP B [4.7602885023334744, 4714]
FOCS A [4.762254901960785, 2448]
FMCAD C [4.7635983263598325, 956]
NIPS A [4.765784561326452, 9107]
ICC C [4.7674797981714025, 26359]
ICCV A [4.768177669607545, 6574]
TCC B [4.769633507853404, 382]
IM C [4.780154756486118, 2197]
WSDM B [4.783585735222276, 2047]
CGO B [4.785903083700441, 1135]
EDBT B [4.787391444194275, 3109]
SOUPS C [4.798165137614679, 654]
ICASSP B [4.79838605551969, 30980]
ICML A [4.799936788874842, 6328]
PLDI A [4.8190652475705695, 2161]
ISPD C [4.827947598253275, 1145]
CIKM B [4.830430601559995, 9359]
FCCM C [4.838095238095238, 2625]
ICMR B [4.845602605863192, 1535]
ATS C [4.8499369482976045, 793]
CHES B [4.881453154875717, 1046]
WWW A [4.9016018306636155, 6992]
ISWC B [4.931034482758621, 1566]
CSCW A [4.946682464454977, 3376]
ISMAR C [4.955352339967725, 1859]
