FPL C [0.45093388674770235, 3373]
PPOPP A [0.45152722443559096, 1506]
FC C [0.4520766773162939, 1252]
COSIT C [0.45274725274725275, 455]
MOBIHOC B [0.453015427769986, 1426]
PPSN B [0.46256345177664976, 1576]
HPDC B [0.46487695749440716, 2235]
SACMAT C [0.4658385093167702, 805]
DSN B [0.4687701223438506, 3106]
CAISE B [0.46896191966614503, 1917]
ICCBR B [0.47195357833655704, 1034]
FPGA B [0.476356050069541, 1438]
ACISP C [0.4783565663976522, 1363]
ALT C [0.47854785478547857, 909]
MFCS C [0.4867624810892587, 2644]
BMVC C [0.4876190476190476, 4725]
SACRYPT C [0.4885057471264368, 870]
ICNP B [0.4888030888030888, 2590]
WASA C [0.49021526418786693, 2044]
FCCM C [0.4939839572192513, 1496]
VISSYM B [0.49573690621193667, 821]
ATVA C [0.498220640569395, 1124]
WCRE B [0.500308451573103, 1621]
DCC B [0.5040650406504065, 1968]
ICSM B [0.5042635658914729, 2580]
SAS B [0.5061590145576708, 893]
VMCAI B [0.511543134872418, 823]
ESWS C [0.5142314990512334, 1581]
IWQOS B [0.5151685393258427, 1780]
CSCWD C [0.5168004757656854, 3363]
CLUSTER C [0.5178803641092328, 3076]
GECCO C [0.5186656076250993, 5036]
SIGMETRICS B [0.5224719101123596, 1780]
EASE C [0.5233291298865069, 793]
ACMDIS C [0.5244263508512214, 2702]
SEMWEB B [0.5244565217391305, 1104]
COLING B [0.5305014372404983, 6262]
OOPSLA A [0.5315763301839881, 2011]
VISUALIZATION A [0.5322466335931963, 1411]
ISLPED C [0.5351876675603218, 2984]
MODELS B [0.5392231530845393, 1313]
MSR C [0.5401069518716578, 935]
ICFP B [0.5445544554455446, 808]
PAM C [0.5449844881075491, 967]
ICS B [0.5460852329038652, 3027]
ICB C [0.552093023255814, 2150]
ISMAR C [0.5534069981583793, 1086]
IPPS B [0.5537672988211174, 9755]
RT B [0.5562310030395137, 658]
ICDM B [0.5633564858269194, 5327]
CONEXT B [0.5638126009693053, 1238]
WSDM B [0.5679360601786554, 2127]
EUROSYS B [0.569848661233993, 1718]
RE B [0.5750853242320819, 1758]
HUC A [0.5763813651137595, 2769]
ICDCS B [0.5789473684210527, 6137]
FAST A [0.5827036104114189, 1191]
UAI B [0.5838926174496645, 3427]
ICALP B [0.5847430577721034, 3133]
CSFW B [0.5857605177993528, 927]
SAT C [0.5864864864864865, 740]
ESEM B [0.5874538745387454, 1355]
CODES B [0.58777633289987, 1538]
HOTOS B [0.5889014722536806, 883]
SDM B [0.5890366526110931, 3083]
IEEEPACT B [0.5907390084190832, 2138]
FMCAD C [0.5913140311804009, 898]
USENIX A [0.5925925925925926, 2457]
CTRSA C [0.5928899082568807, 872]
IPSN B [0.5942857142857143, 1575]
RTSS A [0.5946639302206259, 1949]
CADE B [0.5968013468013468, 1188]
ICDT B [0.5996275605214153, 537]
RTAS B [0.6037854889589905, 1585]
ILP C [0.6039603960396039, 606]
AIPS B [0.6046942557134033, 1619]
ISSTA B [0.6057479734708917, 1357]
EDBT B [0.605913717886573, 2063]
ICSE A [0.6095363656339267, 4551]
MOBICOM A [0.6123306865950491, 2141]
MM A [0.614105123087159, 6012]
HAPTICS C [0.6177795985251946, 2441]
WWW A [0.6183365686128117, 6697]
CSCW A [0.6209648168298876, 2757]
APVIS C [0.6231884057971014, 1035]
ISPD C [0.6282173498570067, 1049]
WCNC C [0.6286575755499212, 14593]
ACL A [0.6299568522703924, 4867]
MOBISYS B [0.6365930599369085, 1585]
ITC B [0.6369643194260902, 5297]
POPL A [0.6384922901199315, 1751]
SPAA B [0.6394399066511085, 1714]
STACS C [0.6411056620597414, 2243]
ATAL B [0.650492264416315, 4266]
VLDB A [0.6522366522366523, 1386]
KR B [0.6561199000832639, 1201]
ISAAC C [0.6570549788542868, 2601]
AISTATS C [0.6596822472944969, 4343]
CHES B [0.6615532118887824, 1043]
SCA B [0.6655518394648829, 897]
SC A [0.6671425172495836, 4203]
CAV A [0.6675621222296844, 1489]
NAACL C [0.6690590111642744, 2508]
SP A [0.6739288307915758, 2754]
RECOMB B [0.6751800916830386, 1527]
PKC B [0.6773296244784422, 719]
NDSS B [0.6795149415331312, 2309]
CIKM B [0.6801570113697889, 7388]
PODC B [0.6815374056280027, 1457]
ASPDAC C [0.683954933954934, 5148]
ASIACRYPT B [0.6914778856526429, 927]
ATS C [0.6990200653289781, 2143]
HYBRID B [0.7008892481810832, 1237]
SOSP A [0.702054794520548, 1460]
IJCAI A [0.7021065323781829, 14099]
CRYPTO A [0.7032967032967034, 1001]
IPCO C [0.710128055878929, 859]
COGSCI B [0.7105650549201676, 8831]
HOTNETS C [0.7131242740998839, 861]
KDD A [0.7232992173389524, 8305]
LICS A [0.7262357414448669, 1578]
ICCAD B [0.7288793103448276, 4640]
PLDI A [0.7309048178613397, 2553]
VTS C [0.7337552742616034, 2370]
ASPLOS A [0.7345370726085286, 2603]
USS A [0.7366834170854272, 2985]
COLT B [0.7378378378378379, 1480]
SIGCOMM A [0.737890625, 2560]
CIDR B [0.7404371584699454, 1098]
SIGSOFT A [0.7432108626198083, 2504]
ISCA A [0.7437713086808287, 3813]
ETS C [0.7438625204582652, 1222]
CONCUR B [0.7453846153846154, 1300]
CP B [0.746, 1500]
AAAI A [0.7462768287341218, 18264]
SENSYS B [0.74745269286754, 1374]
GLOBECOM C [0.7515893694632622, 19190]
MICRO A [0.7550691985838429, 3107]
DATE B [0.7564602889990507, 9481]
PODS B [0.7596795727636849, 749]
SIGIR A [0.760738148265988, 3143]
INTERSPEECH C [0.7618892153661987, 9189]
EMNLP B [0.763632593821273, 4823]
EUROCRYPT A [0.7659574468085106, 611]
ICML A [0.7659903381642512, 10350]
OSDI A [0.7664346481051817, 1293]
IMC B [0.767962308598351, 1698]
ICC C [0.7688231610385857, 20759]
HPCA A [0.7705835331734612, 2502]
ICDE A [0.7713950762016413, 4265]
UIST B [0.7728412755284844, 2791]
CCS C [0.7800819252432155, 3906]
